@relation all_all_all_all-standard_config_performanceValues-weka.filters.unsupervised.attribute.Remove-R1

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute CfsSubsetEval_DecisionStumpAUC numeric
@attribute CfsSubsetEval_DecisionStumpErrRate numeric
@attribute CfsSubsetEval_DecisionStumpKappa numeric
@attribute CfsSubsetEval_NaiveBayesAUC numeric
@attribute CfsSubsetEval_NaiveBayesErrRate numeric
@attribute CfsSubsetEval_NaiveBayesKappa numeric
@attribute CfsSubsetEval_kNN1NAUC numeric
@attribute CfsSubsetEval_kNN1NErrRate numeric
@attribute CfsSubsetEval_kNN1NKappa numeric
@attribute DecisionStumpAUC numeric
@attribute DecisionStumpErrRate numeric
@attribute DecisionStumpKappa numeric
@attribute Dimensionality numeric
@attribute J48.00001.AUC numeric
@attribute J48.00001.ErrRate numeric
@attribute J48.00001.Kappa numeric
@attribute J48.0001.AUC numeric
@attribute J48.0001.ErrRate numeric
@attribute J48.0001.Kappa numeric
@attribute J48.001.AUC numeric
@attribute J48.001.ErrRate numeric
@attribute J48.001.Kappa numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NaiveBayesAUC numeric
@attribute NaiveBayesErrRate numeric
@attribute NaiveBayesKappa numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute REPTreeDepth1AUC numeric
@attribute REPTreeDepth1ErrRate numeric
@attribute REPTreeDepth1Kappa numeric
@attribute REPTreeDepth2AUC numeric
@attribute REPTreeDepth2ErrRate numeric
@attribute REPTreeDepth2Kappa numeric
@attribute REPTreeDepth3AUC numeric
@attribute REPTreeDepth3ErrRate numeric
@attribute REPTreeDepth3Kappa numeric
@attribute RandomTreeDepth1AUC numeric
@attribute RandomTreeDepth1ErrRate numeric
@attribute RandomTreeDepth1Kappa numeric
@attribute RandomTreeDepth2AUC numeric
@attribute RandomTreeDepth2ErrRate numeric
@attribute RandomTreeDepth2Kappa numeric
@attribute RandomTreeDepth3AUC numeric
@attribute RandomTreeDepth3ErrRate numeric
@attribute RandomTreeDepth3Kappa numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute kNN1NAUC numeric
@attribute kNN1NErrRate numeric
@attribute kNN1NKappa numeric
@attribute weka.classifiers.lazy.IBk numeric

@data
0.995192,397757500,3342500,26740,0.782687,0.177033,0.59255,0.782687,0.177033,0.59255,0.782687,0.177033,0.59255,0.76398,0.229665,0.482673,0.043062,0.782687,0.177033,0.59255,0.782687,0.177033,0.59255,0.782687,0.177033,0.59255,0.641148,134,7,191,24.097345,65772.421053,7,4.392481,29164.753824,4.5,104.714286,7.392455,9607.61853,4.5,1.592351,4234.914878,2,26,-1.03106,16.772249,2,-0.371568,8.572594,0.358852,75,0.946269,0.105263,0.76144,1,2,9,209,15,15,7,2,0.111111,0.07177,0.007974,0.777778,0.222222,-0.819173,32.157895,-0.116559,12.462896,2.084536,92.264593,1.331877,73.91776,22.293552,1054.851675,4.145134,218.020866,0.737711,0.229665,0.469767,0.737711,0.229665,0.469767,0.737711,0.229665,0.469767,0.806822,0.172249,0.61667,0.806822,0.172249,0.61667,0.806822,0.172249,0.61667,3.535534,58.704668,3.535534,0.796368,0.148325,0.660732,85
0.508621,317475180000,654588000,1322400,0.820114,0.291128,0.474783,0.915704,0.203273,0.648049,0.789024,0.257537,0.566487,0.820114,0.291128,0.474783,0.014643,0.864927,0.223945,0.615911,0.861081,0.236003,0.592954,0.868129,0.225668,0.613676,0.531438,617,1140,1160,50.909625,3052.047373,1140,5.815259,2411.623526,398.666667,388.428571,7.3541,529.798248,398.666667,1.703419,273.711854,4,83,-0.02991,12.735573,4,0.343584,19.514094,0.000861,1,0.902296,0.234281,0.608542,0,4,17,1161,87,256,14,3,0,0.074935,0.012971,0.823529,0.176471,0.222665,89.418605,0.433719,72.487925,0.727339,418.382963,0.741392,94.685255,9.344527,524.781759,2.716425,144.880039,0.498826,0.468562,0,0.498826,0.468562,0,0.498826,0.468562,0,0.760358,0.341947,0.39877,0.795165,0.310078,0.47759,0.817374,0.316968,0.456888,642.461931,248.054186,642.461931,0.701225,0.354866,0.399495,69.534884
0.095644,4294967296,16777216,65536,0.659663,0.795043,0.110529,0.965817,0.204257,0.77291,0.971767,0.050829,0.943501,0.659663,0.795043,0.110529,0.011214,0.941596,0.1327,0.8525,0.940051,0.129686,0.85585,0.937004,0.127829,0.857914,0.112529,7877,10,256,70000,140.015057,10,264.575131,113.886297,10,179.33801,4894.714443,33.385965,10,31.079436,49.255704,10,1,-1.825429,0,10,-0.235497,0,0.090186,6313,0.937306,0.300014,0.666389,0,10,785,70000,0,0,784,1,0,0,0,0.998726,0.001274,-1.029732,0.120582,0.874412,4.670546,16.226837,7.19605,4.134907,36.765819,623.082764,69.334618,23.939583,100.848508,0.652087,0.795614,0.108955,0.770537,0.664529,0.258663,0.84357,0.5095,0.432352,0.647,0.817429,0.086878,0.732529,0.732214,0.183097,0.796153,0.664086,0.259597,0,105.154423,0,0.981619,0.033071,0.96324,97.062664
0.968719,0,4004,1001,0.578684,0.552734,0.130413,0.629174,0.541992,0.16119,0.660811,0.519531,0.246522,0.578684,0.552734,0.130413,0.00293,0.594467,0.537109,0.14927,0.604256,0.539063,0.153677,0.641657,0.527344,0.196761,0.394531,404,4,77,-0.123562,134.129883,4,0.725942,15.13884,4,45,-0.57205,85.629175,4,0.425902,7.64228,4,13,-1.020538,37.128467,4,0.125861,0.14572,0.091797,94,0.629174,0.541992,0.16119,0,4,3,1024,0,0,2,1,0,0,0,0.666667,0.333333,-1.020538,37.128467,0.125861,0.14572,-0.57205,85.629175,0.425902,7.64228,-0.123562,134.129883,0.725942,15.13884,0.578684,0.552734,0.130413,0.578684,0.552734,0.130413,0.618781,0.543945,0.157183,0.578684,0.552734,0.130413,0.618009,0.535156,0.191912,0.650591,0.530273,0.180041,0,45.254834,0,0.660811,0.519531,0.246522,47.615894
0.965116,10875648,213248,3808,0.671024,0.344828,0.246101,0.671024,0.344828,0.246101,0.671024,0.344828,0.246101,0.730937,0.264368,0.465973,0.126437,0.673747,0.298851,0.357751,0.673747,0.298851,0.357751,0.673747,0.298851,0.357751,0.586207,51,2,68,1.053982,247.471264,2,0.577875,4.427291,2,41.888889,0.299389,52.152568,2,-0.28177,1.092561,2,15,-0.466113,0.603241,2,-0.782955,0.014386,0.413793,36,0.752179,0.287356,0.390244,2,2,11,87,0,0,9,2,0.181818,0,0,0.818182,0.181818,-0.234403,0.724489,-0.720985,0.023504,0.332828,1.131954,-0.402432,0.04089,0.858399,96.032184,0.006417,2.313669,0.671024,0.344828,0.246101,0.671024,0.344828,0.246101,0.671024,0.344828,0.246101,0.693627,0.287356,0.395329,0.693627,0.287356,0.395329,0.693627,0.287356,0.395329,0,18.360586,0,0.690087,0.298851,0.378913,72.173913
0.983051,10926387,191691,3363,0.553333,0.416667,0.166667,0.553333,0.416667,0.166667,0.553333,0.416667,0.166667,0.6,0.4,0.2,0.133333,0.575,0.416667,0.166667,0.575,0.416667,0.166667,0.575,0.416667,0.166667,0.5,30,2,59,1.813502,70.7,2,-0.396098,18.08764,2,53.714286,0.522933,65.875,2,-0.684542,15.791525,2,36,-0.259944,54.926667,2,-0.989213,13.43181,0.5,30,0.784444,0.283333,0.433333,1,2,8,60,0,0,7,1,0.125,0,0,0.875,0.125,0.038966,65.353333,-0.971895,13.739591,0.218749,66.39,-0.697947,16.249492,1.086065,69.215,-0.45828,16.796897,0.66,0.366667,0.266667,0.66,0.366667,0.266667,0.66,0.366667,0.266667,0.55,0.45,0.1,0.55,0.45,0.1,0.55,0.45,0.1,0,7.952238,0,0.583333,0.416667,0.166667,47.5
0.968992,?,16770,3354,0.692493,0.553846,0.307692,0.692493,0.553846,0.307692,0.692493,0.553846,0.307692,0.633432,0.669231,0.163462,0.023077,0.692493,0.553846,0.307692,0.692493,0.553846,0.307692,0.692493,0.553846,0.307692,0.2,26,26,129,37.689612,18212792.307692,26,5.499005,45105899.030611,15.5,129,37.689612,18212792.307692,15.5,5.499005,45105899.030611,5,129,37.689612,18212792.307692,5,5.499005,45105899.030611,0.2,26,0.622189,0.669231,0.163462,0,5,3,130,0,0,1,2,0,0,0,0.333333,0.666667,37.689612,18212792.307692,5.499005,45105899.030611,37.689612,18212792.307692,5.499005,45105899.030611,37.689612,18212792.307692,5.499005,45105899.030611,0.5,0.8,0,0.5,0.8,0,0.5,0.8,0,0.375185,0.992308,-0.240385,0.375185,0.992308,-0.240385,0.375185,0.992308,-0.240385,14.849242,0,14.849242,0.389423,0.976923,-0.221154,0
0.97411,2874010000,19685000,78740,0.968694,0.054839,0.937808,0.968694,0.054839,0.937808,0.968694,0.054839,0.937808,0.793161,0.73871,0.150278,0.029032,0.955846,0.077419,0.912211,0.955846,0.077419,0.912211,0.955846,0.077419,0.912211,0.132258,41,9,310,0.608557,496.103226,9,0.792714,124.330267,9,175.375,-0.776847,144.801412,9,0.115682,40.984188,9,47,-1.416428,0.231207,9,-0.331356,0.089691,0.058065,18,0.99241,0.119355,0.86457,0,9,9,310,0,0,8,1,0,0,0,0.888889,0.111111,-1.254116,2.434804,-0.148267,0.131896,-1.168827,16.380863,-0.014583,7.795998,-0.117711,349.118548,0.470199,107.293996,0.974089,0.045161,0.948789,0.974089,0.045161,0.948789,0.974089,0.045161,0.948789,0.963142,0.064516,0.926805,0.963142,0.064516,0.926805,0.963142,0.064516,0.926805,0,87.141818,0,0.988936,0.019355,0.978052,100
0.764706,23296,11648,832,0.767857,0.25,0.489426,0.767857,0.25,0.489426,0.767857,0.25,0.489426,0.767857,0.25,0.489426,0.076923,0.767857,0.25,0.489426,0.767857,0.25,0.489426,0.767857,0.25,0.489426,0.538462,28,2,52,0.578589,26.5,2,0.269673,15.154757,2,27.333333,-0.45577,13.144231,2,-0.13037,6.477174,2,14,-1.2,3.278846,2,-0.660783,1.938803,0.461538,24,0.802083,0.211538,0.573134,1,2,4,52,0,0,3,1,0.25,0,0,0.75,0.25,-1.2,3.278846,-0.660783,1.938803,-0.7459,9.653846,0,2.337961,0.578589,26.5,0.269673,15.154757,0.78869,0.192308,0.615385,0.78869,0.192308,0.615385,0.78869,0.192308,0.615385,0.732143,0.269231,0.461538,0.732143,0.269231,0.461538,0.732143,0.269231,0.461538,0,21.385353,0,0.595238,0.403846,0.189911,73.846154
0.467742,5796,1932,644,0.494898,0.392,0,0.494898,0.392,0,0.494898,0.392,0,0.507519,0.408,0.019683,0.04,0.517454,0.408,0.019683,0.517454,0.408,0.019683,0.517454,0.408,0.019683,0.608,76,3,46,-0.401022,57.44,3,-0.011619,17.563893,2.666667,30,-0.405713,29.13048,2.666667,-0.324838,8.820673,2,14,-0.410405,0.82096,2,-0.638057,0.077454,0.392,49,0.530612,0.448,-0.005458,1,2,5,125,0,0,2,3,0.2,0,0,0.4,0.6,-0.410405,0.82096,-0.638057,0.077454,-0.405713,29.13048,-0.324838,8.820673,-0.401022,57.44,-0.011619,17.563893,0.494898,0.392,0,0.494898,0.392,0,0.494898,0.392,0,0.563104,0.424,0.107263,0.563104,0.424,0.107263,0.563104,0.424,0.107263,0.57735,22.627417,0.57735,0.565655,0.448,0.066915,48.235294
0.535536,1000000000000,1000000000,1000000,0.883658,0.129,0.739506,0.883658,0.129,0.739506,0.883658,0.129,0.739506,0.693849,0.297,0.401909,0.026,0.843022,0.149,0.698285,0.843022,0.149,0.698285,0.843022,0.149,0.698285,0.557,557,2,1000,1.956425,0,2,1.376455,1,2,999.84,-0.989595,0,2,0.064524,1,2,999,-1.28352,0,2,-0.099647,1,0.443,443,0.72548,0.325,0.340375,1,2,26,1000,0,0,25,1,0.038462,0,0,0.961538,0.038462,-1.20572,0,-0.055845,1,-1.171438,0,-0.021715,1,-1.153128,0,0.02225,1,0.887295,0.141,0.713027,0.887295,0.141,0.713027,0.887295,0.141,0.713027,0.746682,0.249,0.494392,0.746682,0.249,0.494392,0.746682,0.249,0.494392,0,0.374166,0,0.577803,0.415,0.156147,56.094276
0.575758,100000000,1000000,10000,0.831494,0.2,0.588138,0.831494,0.2,0.588138,0.831494,0.2,0.588138,0.765068,0.21,0.547414,0.51,0.650042,0.34,0.299835,0.650042,0.34,0.299835,0.650042,0.34,0.299835,0.62,62,2,100,1.112825,0,2,1.307691,1,2,100,-1.07177,0,2,0.015522,1,2,100,-1.386229,0,2,-0.357161,1,0.38,38,0.562394,0.42,0.08056,1,2,51,100,0,0,50,1,0.019608,0,0,0.980392,0.019608,-1.23264,0,-0.131697,1,-1.126082,0,-0.016849,1,-1.062881,0,0.126166,1,0.771647,0.25,0.455575,0.771647,0.25,0.455575,0.771647,0.25,0.455575,0.516978,0.46,0.033613,0.516978,0.46,0.033613,0.516978,0.46,0.033613,0,0,0,0.514007,0.47,0.027318,57.777778
0.747535,52861372788,110588646,231357,0.876937,0.141732,0.709917,0.876937,0.141732,0.709917,0.876937,0.141732,0.709917,0.878142,0.129921,0.736233,0.021654,0.848871,0.133858,0.727966,0.848871,0.133858,0.727966,0.848871,0.133858,0.727966,0.562992,286,2,483,12.723956,169.048169,2,2.748805,14.182873,2,430.9,1.723464,48.001835,2,0.816573,7.477724,2,282,-0.441546,2.844429,2,-0.569563,1.05062,0.437008,222,0.920478,0.163386,0.665768,1,2,11,508,0,0,10,1,0.090909,0,0,0.909091,0.090909,-0.094634,8.228159,0.443892,3.53811,0.551007,30.852697,0.799252,6.729475,1.317157,77.87003,1.075104,12.266445,0.900602,0.161417,0.672289,0.900602,0.161417,0.672289,0.900602,0.161417,0.672289,0.828986,0.169291,0.656649,0.828986,0.169291,0.656649,0.828986,0.169291,0.656649,0,65.17745,0,0.845729,0.151575,0.691806,84.026846
0.501502,1000000000000,1000000000,1000000,0.694059,0.292,0.409347,0.699586,0.357,0.270118,0.84463,0.155,0.686225,0.694059,0.292,0.409347,0.101,0.820001,0.174,0.645835,0.820001,0.174,0.645835,0.819775,0.172,0.650997,0.564,564,2,1000,1.541408,0,2,1.349992,1,2,999.79,-1.143504,0,2,0.03152,1,2,998,-1.278349,-0,2,-0.110809,1,0.436,436,0.668659,0.368,0.25213,1,2,101,1000,0,0,100,1,0.009901,0,0,0.990099,0.009901,-1.225419,-0,-0.027097,1,-1.196612,0,0.00437,1,-1.170094,0,0.033994,1,0.693531,0.296,0.404953,0.802614,0.262,0.478935,0.85488,0.174,0.649126,0.50976,0.436,0,0.518442,0.439,-0.000711,0.559594,0.444,0.0257,0,0.456048,0,0.520764,0.471,0.041561,51.447811
0.632353,53760,13440,1120,0.6143,0.277372,0.180157,0.6143,0.277372,0.180157,0.6143,0.277372,0.180157,0.614918,0.313869,0,0.058394,0.501361,0.350365,0.026931,0.501361,0.350365,0.026931,0.501361,0.350365,0.026931,0.686131,94,4,40,24.309851,58.569343,4,4.151116,20.039592,2.4,26.666667,7.699443,41.883212,2.4,1.054154,13.73112,2,12,-0.78238,8.773723,2,-0.64327,10.541628,0.313869,43,0.758535,0.255474,0.387534,4,2,8,137,0,0,3,5,0.5,0,0,0.375,0.625,-0.78238,8.773723,-0.64327,10.541628,-0.429144,58.306569,-0.345385,10.612141,24.309851,58.569343,4.151116,20.039592,0.685181,0.313869,0.275845,0.685181,0.313869,0.275845,0.685181,0.313869,0.275845,0.557397,0.364964,0.119311,0.557397,0.364964,0.119311,0.557397,0.364964,0.119311,0.894427,14.047538,0.894427,0.513855,0.416058,0.015383,58.947368
0.719828,2998705432800,3407619810,3679935,0.767831,0.252574,0.495017,0.835814,0.25401,0.492086,0.70355,0.301173,0.397567,0.767831,0.252574,0.495017,0.002155,0.796715,0.233421,0.533127,0.796715,0.233421,0.533127,0.818764,0.231745,0.536575,0.501796,2096,3,2429,76.025509,0.828742,3,3.128817,0.490389,2.5,863.714286,11.033153,0.382703,2.5,0.620369,0.174618,2,51,-0.045476,0.139516,2,-0.639873,0.041827,0.498204,2081,0.821066,0.264783,0.470507,1,2,9,4177,0,0,7,2,0.111111,0,0,0.777778,0.222222,-0.023644,0.180594,-0.609198,0.09924,0.084012,0.359367,0.591852,0.120093,0.595124,0.523992,0.719098,0.221963,0.766112,0.241082,0.517759,0.766112,0.241082,0.517759,0.786891,0.244913,0.510312,0.767831,0.252574,0.495017,0.822782,0.252574,0.495017,0.832146,0.238209,0.523532,0.707107,879.204511,0.707107,0.707357,0.285372,0.429195,72.256
0.482412,81,27,9,0.858022,0.18,0.640324,0.858022,0.18,0.640324,0.858022,0.18,0.640324,0.808678,0.17,0.659284,0.055,0.829797,0.145,0.709652,0.829797,0.145,0.709652,0.829797,0.145,0.709652,0.515,103,2,3,-1.336958,0.105,2,0.221621,1.00005,2,2.9,-1.552829,-0.011,2,0.020567,0.839202,2,2,-2.000107,-0.115,2,-0.196118,0.777817,0.485,97,0.763988,0.325,0.348828,1,2,11,200,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.577168,-0.075,-0.107339,0.81177,-1.532543,-0.02,0.037107,0.826804,-1.463677,0.05875,0.139778,0.842479,0.841107,0.155,0.688505,0.841107,0.155,0.688505,0.841107,0.155,0.688505,0.793164,0.205,0.588271,0.793164,0.205,0.588271,0.793164,0.205,0.588271,0,0.316228,0,0.798669,0.215,0.568706,85.263158
0.556637,328616640,2738472,22632,0.694113,0.336067,0,0.933109,0.255933,0.500322,0.954381,0.058533,0.868136,0.694113,0.336067,0,0.003267,0.97959,0.035533,0.920206,0.97881,0.0344,0.922724,0.981838,0.0304,0.931596,0.663933,9959,2,184,147.261947,110,2,11.618472,35.252824,2,48.3125,34.887434,19.432526,2,4.780045,6.520232,2,1,-0.072067,0,2,0.308753,0,0.336067,5041,0.882693,0.344733,0.359479,1,2,49,15000,0,0,48,1,0.020408,0,0,0.979592,0.020408,3.346056,0,1.86212,0,16.985813,0.9317,3.918949,3.133465,69.841247,12.012283,7.79862,11.511865,0.499925,0.336067,0,0.86803,0.169733,0.650243,0.912548,0.1072,0.767189,0.657771,0.336067,0,0.674744,0.3144,0.157168,0.785894,0.262067,0.366939,0,50.413252,0,0.962521,0.035533,0.920735,96.531021
0.503504,1000000000000,1000000000,1000000,0.880203,0.148,0.699996,0.880203,0.148,0.699996,0.880203,0.148,0.699996,0.669584,0.325,0.341081,0.026,0.826138,0.163,0.67003,0.826138,0.163,0.67003,0.826138,0.163,0.67003,0.547,547,2,1000,1.50922,0,2,1.356293,1,2,1000,-0.970848,0,2,0.101459,1,2,1000,-1.26482,0,2,-0.093515,1,0.453,453,0.675779,0.367,0.261558,1,2,26,1000,0,0,25,1,0.038462,0,0,0.961538,0.038462,-1.198472,0,-0.039367,1,-1.178689,0,0.015434,1,-1.122575,0,0.028711,1,0.841889,0.171,0.652778,0.841889,0.171,0.652778,0.841889,0.171,0.652778,0.756722,0.24,0.514616,0.756722,0.24,0.514616,0.756722,0.24,0.514616,0,0,0,0.574101,0.418,0.149449,58.989899
0.850107,12168,6084,676,0.886668,0.132479,0.733014,0.886668,0.132479,0.733014,0.886668,0.132479,0.733014,0.64253,0.401709,0.200378,0.008547,0.871792,0.162393,0.670203,0.871792,0.162393,0.670203,0.871792,0.162393,0.670203,0.555556,260,9,52,-1.200886,26.5,9,0,15.024391,5.5,32.5,-1.207657,16.75,5.5,0,9.385026,2,13,-1.214428,7,2,0,3.745661,0.444444,208,0.873354,0.215812,0.561505,1,2,4,468,0,0,2,2,0.25,0,0,0.5,0.5,-1.214428,7,0,3.745661,-1.207657,16.75,0,9.385026,-1.200886,26.5,0,15.024391,0.897513,0.173077,0.650024,0.897513,0.173077,0.650024,0.897513,0.173077,0.650024,0.861058,0.134615,0.725955,0.861058,0.134615,0.725955,0.861058,0.134615,0.725955,4.949747,27.577164,4.949747,0.84093,0.15812,0.677638,87.681159
0.511537,4472333285241648,547677355528,67026968,0.765366,0.2052,0.550445,0.972468,0.096069,0.7983,0.894108,0.100952,0.789874,0.765366,0.2052,0.550445,0.001099,0.94003,0.081299,0.829336,0.956253,0.076782,0.839696,0.960968,0.075806,0.842169,0.596313,4885,2,8188,6.869537,6.508057,2,2.11832,3.102711,2,7146.75,0.696958,1.654425,2,0.469408,1.08274,2,4,-1.378784,-0.008189,2,-0.375708,0.201263,0.403687,3307,0.973973,0.094482,0.801641,1,2,9,8192,0,0,8,1,0.111111,0,0,0.888889,0.111111,-1.22947,-0.003643,-0.01271,0.286596,-1.192689,0.301683,0.008834,0.291287,4.024148,3.074162,1.499765,2.586798,0.754668,0.210571,0.532024,0.894637,0.119507,0.753856,0.894637,0.119507,0.753856,0.746138,0.230957,0.490262,0.863169,0.188721,0.599165,0.926591,0.154297,0.6752,0,2886.149127,0,0.721129,0.256226,0.453851,74.443992
0.565657,100000000,1000000,10000,0.789167,0.19,0.585153,0.789167,0.19,0.585153,0.789167,0.19,0.585153,0.7625,0.21,0.556962,0.06,0.794583,0.18,0.605263,0.794583,0.18,0.605263,0.794583,0.18,0.605263,0.6,60,2,100,0.94833,0,2,1.020333,1,2,100,-0.616989,0,2,0.249268,1,2,100,-1.08166,0,2,0.03941,1,0.4,40,0.7675,0.2,0.576271,1,2,6,100,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.067639,0,0.040538,1,-1.013274,0,0.049571,1,0.031804,0,0.557846,1,0.79125,0.2,0.576271,0.79125,0.2,0.576271,0.79125,0.2,0.576271,0.8,0.21,0.578313,0.8,0.21,0.578313,0.8,0.21,0.578313,0,0,0,0.708333,0.27,0.425532,70.714286
0.496137,81,27,9,0.802162,0.197483,0.605028,0.719293,0.344682,0.310629,0.98172,0.069589,0.860822,0.802162,0.197483,0.605028,0.00027,0.954874,0.070349,0.8593,0.954874,0.070349,0.8593,0.954874,0.070349,0.8593,0.500883,20420,2,3,-1.492703,0.008095,2,0.010295,0.99998,2,2.9,-1.550309,0.002006,2,-0.003821,0.834942,2,2,-1.999836,-0.005617,2,-0.01619,0.814537,0.499117,20348,0.719309,0.344486,0.311019,1,2,11,40768,0,0,10,1,0.090909,0,0,0.909091,0.090909,-1.504742,-0.000202,-0.009931,0.815597,-1.501153,0.002048,-0.003761,0.816823,-1.496638,0.005409,0.000372,0.817795,0.802162,0.197483,0.605028,0.842386,0.195374,0.609363,0.945109,0.094363,0.811291,0.802162,0.197483,0.605028,0.889085,0.193927,0.612143,0.917777,0.175996,0.647935,0,0.316228,0,0.957774,0.088305,0.823399,91.449133
0.985929,1440,720,360,0.985083,0.00691,0.980862,0.990853,0.023445,0.937279,0.992586,0.009131,0.974756,0.985083,0.00691,0.980862,0.001974,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.760365,3081,2,36,77.672842,1972.34847,2,7.968839,9.851025,2,8,17.041562,281.948773,2,2.747987,1.757793,2,2,-1.994734,0.022952,2,-0.170636,0.149768,0.239635,971,0.986117,0.030849,0.916958,1,2,8,4052,0,0,7,1,0.125,0,0,0.875,0.125,-1.52873,0.078233,-0.079064,0.268571,-0.274329,0.225568,1.313699,0.472954,38.64253,0.519743,6.373653,0.644557,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.985083,0.00691,0.980862,0.98642,0.00691,0.980862,0.990557,0.00691,0.980862,0,12.701706,0,0.994587,0.014808,0.959136,98.64798
0.860465,42592,21296,1936,0.818083,0.204545,0.543779,0.818083,0.204545,0.543779,0.818083,0.204545,0.543779,0.72658,0.25,0.5,0.090909,0.801743,0.204545,0.533019,0.801743,0.204545,0.533019,0.801743,0.204545,0.533019,0.613636,27,2,44,-0.198678,75,2,0.925433,15.994185,2,33,-0.978614,35.015777,2,0.295536,10.866984,2,11,-1.516084,9.362097,2,-0.038825,4.34995,0.386364,17,0.936819,0.136364,0.699317,1,2,4,44,0,0,3,1,0.25,0,0,0.75,0.25,-1.516084,9.362097,-0.038825,4.34995,-1.22108,20.685233,0,12.256818,-0.198678,75,0.925433,15.994185,0.827887,0.227273,0.54071,0.827887,0.227273,0.54071,0.827887,0.227273,0.54071,0.797386,0.181818,0.608018,0.797386,0.181818,0.608018,0.797386,0.181818,0.608018,0,19.052559,0,0.845316,0.136364,0.706013,92.727273
0.518072,3906250000,15625000,62500,0.841715,0.16,0.678022,0.841715,0.16,0.678022,0.841715,0.16,0.678022,0.741003,0.244,0.507652,0.024,0.85416,0.152,0.695063,0.85416,0.152,0.695063,0.85416,0.152,0.695063,0.524,131,2,250,-0.639917,0,2,0.066326,1,2,250,-1.052861,0,2,-0.080515,1,2,250,-1.246317,0,2,-0.20579,1,0.476,119,0.754121,0.292,0.412163,1,2,6,250,0,0,5,1,0.166667,0,0,0.833333,0.166667,-1.218063,0,-0.172604,1,-1.178272,0,-0.076187,1,-0.824954,0,0.009411,1,0.888094,0.14,0.718595,0.888094,0.14,0.718595,0.888094,0.14,0.718595,0.84534,0.152,0.693884,0.84534,0.152,0.693884,0.84534,0.152,0.693884,0,0,0,0.840015,0.16,0.679508,82.5
